Function,Metodo,xbest,fbest
f1,local_random_search,"[-1.4843682356407157, 81.69219844439601]",6675.818635737558
f1,global_random_search,"[-0.09440375250548527, -1.3776651194086185]",1.90687324972228
f1,hill_climbing,"[-0.004376872005321886, -0.006041381291817416]",5.565529646409189e-05
f2,local_random_search,"[-0.030935582884961565, 3.9850350390470117]",0.000539892106437
f2,global_random_search,"[1.5076819627702545, 1.825609531608142]",1.9008836556872983
f2,hill_climbing,"[0.0072332285610836045, 0.013172777771822547]",1.0063939300873253
f3,local_random_search,"[-0.032172605252598796, -1.5346274711945833]",1.646497921901314
f3,global_random_search,"[-1.6394495188757512, -1.8683882875279978]",-3.505550374941164
f3,hill_climbing,"[-0.17212608712060573, -0.8818607931691321]",0.0968324288523733
f4,local_random_search,"[-0.38642303208064277, -1.8078153938705932]",27.424179403241013
f4,global_random_search,"[-0.0026561189477884994, 0.013885204178685662]",0.0396252600804416
f4,hill_climbing,"[-0.0006179816854440939, 1.9898386990585182]",3.979908027288968
f5,local_random_search,"[-0.41507775958784343, -2.8455197238733243]",-0.0071798147797511
f5,global_random_search,"[-0.00624132999222482, 0.9129844931816766]",1.9844674273207497
f5,hill_climbing,"[-10.147833198003413, -39.81943439144042]",4.421245781124782
f6,local_random_search,"[-0.03344411309125661, 2.1038676383574697]",3.043765062908276
f6,global_random_search,"[1.6123633635134027, 2.5995463053608487]",5.059772487926794
f6,hill_climbing,"[-0.1596364634633875, 1.62726949901531]",2.771360162254937
f7,local_random_search,"[0.009090185940542677, 3.02740541229992]",-0.2141841501364793
f7,global_random_search,"[1.9385369318704575, 1.5393224382826873]",-18.03831065300139
f7,hill_climbing,"[-0.08263190154625233, 1.570810151595345]",-9.99999609248254
f8,local_random_search,"[-0.3993459025706443, -71.16683401569995]",-23.957909599694663
f8,global_random_search,"[-162.97149318520633, -88.8843683401774]",-204.58941023418708
f8,hill_climbing,"[-10.811373067594362, -167.62240157745242]",-126.82917769340987
